10 100
818 940 5117
897 531 8553
635 1707 4833
1645 375 1042
8 10 13974
1314 588 12012
460 451 11024
542 149 6764
1755 350 13014
1621 853 9871
157 417 208
1830 1439 560
162 1136 795
149 843 57
494 1299 232
1581 13 13
925 598 697
641 239 893
1802 1608 976
431 623 944
360 1852 849
1478 1870 562
944 1757 788
1737 805 39
1418 815 960
1985 1105 908
1370 1969 199
290 1786 821
1106 1928 367
279 1415 142
1141 1004 165
545 223 784
1191 932 651
193 1274 842
1512 1824 294
1355 958 143
1167 3 194
79 1767 994
890 345 237
1643 1708 775
730 1480 670
1337 602 457
960 1486 948
818 1875 950
1366 994 663
1272 372 460
1492 1189 113
1609 1093 987
223 1866 685
1194 793 126
839 1016 471
41 62 200
119 141 503
1209 720 407
1911 1114 106
317 1031 600
1225 73 488
296 1467 249
1162 509 108
1978 716 638
281 1941 648
289 384 902
742 133 652
391 1536 943
1761 1638 788
1201 1026 50
1267 396 636
1480 856 364
911 1760 629
1675 1165 153
483 588 718
415 1012 364
1156 1349 406
1817 1442 293
485 72 8
1276 1735 660
1661 1557 724
797 846 789
1213 286 858
888 1336 444
877 782 862
167 515 483
11 488 379
635 1279 398
623 1107 398
895 331 162
1013 1732 768
1524 1610 795
1933 1220 506
862 523 878
1473 1569 429
135 1250 793
379 1896 966
487 1260 81
544 1135 656
342 70 174
380 1981 104
1376 1064 871
1689 1919 782
1444 1975 583
766 1327 331
1586 1480 976
1605 1628 668
1696 1109 710
1674 1810 113
2 1688 741
776 1421 531
118 1328 366
313 73 991
1005 1209 723
